text,sentiment_score,lang
@user  Buenos dias y feliz domingo  abrazo♡,2,es
"intervista su radio crc ad Angelo Palumbo su ""la buona scuola"" e sull'associazione ""Panta rei"" http",1,it
"@user @user youre in denial jfc . the babys born in February right , watch briana get a """"miscarriage"""" or some shit ."" ",0,en
"@user Eh, ti dico dopo :) &lt;3",1,it
"@user Hallo, können Nichtmitglieder von facebook leider nicht sehen! Anders verlinken?",0,de
SENTENZE. La Consulta boccia l'acqua pubblica pugliese (06/04/2012) | Vita.it http (via Instapaper),1,it
Me gusta estar sola y me molesta la gente que habla mucho. Si tan solo nos juntáramos a escuchar música y de rato en rato hablar de ello,1,es
Oo na kung Bitter :(((,0,de
@user @user loool kein ding mensch;D hahahah ich kanns halt erst nächste woche schicken^^,2,de
Siento que se va hacer difícil acostumbrarme a la vida con responsabilidades.,0,es
#MaisVocê pombo a passarinho 😂😂😂😂,1,pt
En fin @user espero que recibas este tuit en otra realidad alternativa donde sigues viva porque ahí no se acaba tu camino  ¡suerte!,2,es
#prato #8novembre#cambiapratoora#scuola idee progetti e proposte #labuonascuola iscriviti su http http,1,it
Anciosa pra saber quem sai hj #MasterChefBR,0,pt
"reell, natürlich, rational, irrational #Mathe #Zahlen-.-",0,de
"Eu: vou dormir cedo que terei uma manhã cheia! Também eu: aí meu deus, hoje tem #MasterChefBR",2,pt
@user fosse solo quello il punto... Per fortuna da me un congresso democratico si è fatto,2,it
"@user no sé tío, me imagino que pasados mediados de septiembre",1,es
"Un ingénieur veut contribuer au développement de l’énergie solaire: Dakar, 3 sept (APS) - L’ingénieur... http",2,fr
"Miriam e Leo falando mal do Fabrizio, esses dois sao mt detestaaaaveis bicho #MasterchefBR",0,pt
Forages à Cacouna : la Cour rejette la requête des groupes environnementalistes - http #Environnement #Energie #Québec,0,fr
RT @user: @user che giornale è?,1,it
@user Zweite Folge... so gegen 23.00 irgendwann?,1,de
I\u2019m mad that I haven\u2019t changed the channel. I\u2019ve actually watched 3 episodes of Stevie TV & every time I get mad at myself for watching it! ,0,en
"L’Auberge @user, à Sainte-Émélie-de-l’Énergie, fait maintenant partie du réseau @user! &gt;&gt; http",1,fr
Essa Nayane é muito sortuda kkk #MasterChefBR,2,pt
Énergie verte : des cellules solaires sous forme de peinture pulvérisée | @user via @user http @user,0,fr
@user : 1 way to lose votes is to side with a cheater like Tom Brady. 2nd way is to think its ok that #KimDavis  was arrested. ,0,en
Quero o Thomas no #AltasHoras toda semana! 😄 Bebê mais lindo!!!! 😍,2,pt
http Il Governo di Mario Monti per salvare il BelPaese,1,it
E o meu amor pelo @user só cresce. Orgulho de todos nós. Mais que um clube. #Encontro #AdoteumPequenoTorcedor,2,pt
"Estaba dormida y me desperté por un mensaje,ahora no puedo dormir.",0,es
"@user è vero che tu fai l'università èè dai che alla fine andrà tutto bene. Io bene dai, un po' in ansia anche io, ma tutto shallo",2,it
"Lacrime e sangue degli italiani, ma per che cosa? Tre domande per il professor Monti http",0,it
Maiara e Maraisa cantando belchior ❤️❤️❤️   #ConversaComBial,2,pt
@user #ditelavostra Bersani nel #Pd è il passato. Ma davvero qualcuno può immaginare #Grillo alla guida di un Paese?,0,it
Drauzio Varella dizendo que teve mulheres pacientes no presídio com 28 anos com 10 filhos #ConversaComBial,1,pt
"Bondy Ecologie: Nucléaire, gaz de schiste, TAFTA même combat, même... http",1,fr
Nous sommes engagés dans la transition écologique pour en faire l'occasion d'une croissance durable et d'emplois de qualité dans l'UE #EPSCO,2,fr
"Le développement durable, cette farce qui dure | Cyrille Giraud http",0,fr
@user @user  Miriam me encantó en #GymTony y estoy deseando verla de nuevo en las pantallas! Besitos y feliz día!,2,es
"Só no #Encontro mesmo, pra pessoa falar que farinha ""tal"" da muito peido. Kkkkkkk",0,pt
ESSE FILHO DO SERGINHO QUE COISA MAIS FOFA DO MUNDO #AltasHoras,2,pt
@user yeh looked sick\u002c ahhh that\u2019s probably a no :( wont\u2019t get back from Soundwave fest in Croatia til the 25th! ,0,en
#MasterChefBR agora a Mirian tá rindo alguém pior que ela,0,pt
Le congratulazioni di Michele Iorio al neo premier Mario Monti http,1,it
"Mentira que o menininho de Terra Nostra é o Nicolas? 😱Se não fosse o #VideoShowAoVivo, nunca que iria lembrar. 😬",1,pt
